"Position","Featured Status","Property Title","Price","Size","Address","Property Type","Property Link","Agent Logo","Agent Name","Enquiry Link"
1,"Featured","Flexible Offices 4 Queen Street...","£400.00 - £6,500.00 Per Month","80 - 650 Sq Ft","UBC Flexible Offices 4 Queen Street, Bath BA1...","Office, Serviced Office, Offices","https://propertylink.estatesgazette.com/property-details/6976767-flexible-offices-4-queen-street-bath","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/019/927/UBC_logo.jpg","Ubc logo","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6976767"
2,,"18 Kingsmead Square, Bath...","£25,000.00 Per Annum","1,249 Sq Ft","18 Kingsmead Square, Bath, Bath and North East...","Office, General Retail, Offices, Retail","https://propertylink.estatesgazette.com/property-details/6988953-18-kingsmead-square-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6988953"
3,,"Suite 5 Western House, 2 Rush...","£10,200.00 Per Annum","219 Sq Ft","Suite 5 Western House, 2 Rush Hill, Bath, Somerset...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6987959-suite-5-western-house-2-rush-hill-bath-somerset-ba2-2qh","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6987959"
4,,"23 Broad Street, Bath, Bath and...","£13,850.00 Per Annum","1,011 Sq Ft","23 Broad Street, Bath, Bath and North East...","Office, Retail - High Street, Offices, Retail","https://propertylink.estatesgazette.com/property-details/6987382-23-broad-street-bath-bath-and-north-east-somerset-ba1-5ln","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6987382"
5,,"1-3 Brunel Square, BA1","£40,000.00 Per Annum","580 Sq Ft","Leisure Property, General Retail, Licensed &...","Leisure Property, General Retail, Licensed &...","https://propertylink.estatesgazette.com/property-details/6987203-1-3-brunel-square-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/015/089/HTC_PrimaryLogo_Orange_Grey_RGB.jpg","Htc primarylogo orange grey rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6987203"
6,,"First And Second Floors , 1A...","£21,000.00 Per Annum","594 - 1,396 Sq Ft","First And Second Floors , 1A Queen Square, Bath...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6987096-first-and-second-floors-1a-queen-square-bath-bath-and-north-east-somerset-ba1-2ha","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6987096"
7,,"3 Northumberland Buildings...","£20,000.00 Per Annum","1,161 Sq Ft","3 Northumberland Buildings, Bath, Bath and North...","Office, Retail - High Street, Offices, Retail","https://propertylink.estatesgazette.com/property-details/6985747-3-northumberland-buildings-bath-bath-and-north-east-somerset-ba1-2jb","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6985747"
8,,"2.05 Newark Works, Lower...","ROA","1,081 Sq Ft","2.05 Newark Works, Lower Bristol Road, Bath, Somerset...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6985097-2-05-newark-works-lower-bristol-road-bath-somerset-ba2-3dq","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6985097"
9,,"Second Floor Front Suite...","£29,500.00 Per Annum","2,052 Sq Ft","Second Floor Front Suite, Redbridge House, Lower...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6984865-second-floor-front-suite-redbridge-house-lower-bristol-road-bath-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6984865"
10,,"First Floor, 27A, Westgate...","£8,000.00 Per Annum","529 Sq Ft","First Floor, 27A Westgate Street, Bath, BA1 1EP","Office, Offices, Land, Commercial Land","https://propertylink.estatesgazette.com/property-details/6984798-first-floor-27a-westgate-street-bath-ba1-1ep","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/020/000/JA.jpg","Ja","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6984798"
11,,"46 Milsom Street, Bath, Bath...","£95,000.00 Per Annum","0 - 2,992 Sq Ft","46 Milsom Street, Bath, Bath and North East...","General Retail, Restaurants/Cafes, Retail, Licensed &...","https://propertylink.estatesgazette.com/property-details/6984612-46-milsom-street-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6984612"
12,,"2.07 Newark Works, Lower...","ROA","3,223 Sq Ft","2.07 Newark Works, Lower Bristol Road, Bath, Somerset...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6983273-2-07-newark-works-lower-bristol-road-bath-somerset-ba2-3dq","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6983273"
13,,"2.04 Newark Works, Lower...","ROA","1,047 Sq Ft","2.04 Newark Works, Lower Bristol Road, Bath, Somerset...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6983272-2-04-newark-works-lower-bristol-road-bath-somerset-ba2-3dq","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6983272"
14,,"1a Queen Square, Bath...","£100.00 Per Month","1,399 Sq Ft","1a Queen Square, Bath, Somerset, BA1 2HA...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6982264-1a-queen-square-bath-somerset-ba1-2ha-ref-9003","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/759/ola.jpg","Ola","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6982264"
15,,"Lower Ground Floor , 8...","£10,000.00 Per Annum","587 Sq Ft","Lower Ground Floor , 8 Belmont, Bath, Bath and North...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6980582-lower-ground-floor-8-belmont-bath-bath-and-north-east-somerset-ba1-5dz","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath#enquiry-modal-6980582"
