Id,Address,Price,Size,Property Type,Agency Name,Agent Name,Description,Property Link,Date Posted,Latitude,Longitude
6881244,"27 Upper Borough Walls, Bath, Bath And North East Somerset","£12,500.00 - £18,000.00  Per  Annum","729 - 1,566 Sq Ft","General Retail, Restaurants/Cafes, Retail, Licensed & Leisure",Carter Jonas LLP,Stuart Williams,"First  and  Basement Floors - Available to Let* Incentives Available *The premises front Upper Borough Walls with a return frontage to pedestrianised Union Passage which is where the self-contained entrance to the basement and first floor is located.The premises immediately adjoin Soho Coffee which fronts prime Union Street where multiples include Caffe Nero, Skechers and H Samuel Trade.Licenced Betting Office or uses within what was A1 (Retail), A2 (Financial Services) of the Town and Country Planning (Use Classes Order) 1987. The upper floors are permitted for uses within what was A1, A2, A3 and A5 or other uses subject to landlord's consent.The entire premises are assessed as C (58). ( Agency Pilot Software ref: 20012948 )",https://propertylink.estatesgazette.com/property-details/6881244-27-upper-borough-walls-bath-bath-and-north-east-somerset,1st October 2024,51.3825028,-2.360375
6962602,"6 Terrace Walk, Bath, Bath And North East Somerset, BA1 1LN","£25,000.00  Per  Annum","1,144 Sq Ft","Office, Retail - High Street, Other, Offices, Retail, Other Property Types & Opportunities",CSquared (Previously Colston & Colston Chartered Surveyors),Nathan Clark,"Situated on the first and second floors, the property overlooks Parade Gardens to the front and the Bath Abbey to the rear, the first and second-floor demise offers a well-presented space which is currently fitted out to be used as a cooking school, but would be suitable to a range of users, (within use class E). Inside, the property features large sash windows to both the front and rear of the property which allows excellent levels of natural light into the unit. 6 Terrace Walk features two w/c's situated on the second floor.Terrace Walk is a row of Georgian townhouses overlooking Parade Gardens in the center of Bath. Situated 350 meters from Bath Spa train station and 500 meters from both Southgate car park and Bath bus station. The premises are convenient to access via a range of transport options. A wide variety of food and beverage establishments can be found on the doorstep ( Agency Pilot Software ref: 623 )",https://propertylink.estatesgazette.com/property-details/6962602-6-terrace-walk-bath-bath-and-north-east-somerset-ba1-1ln,31st May 2024,51.381243,-2.357851
6975849,"Second Floor, 14 Queen Square, Bath, Bath and North East Somerset","£12,500.00  Per  Annum",683 Sq Ft,"Office, Offices",Carter Jonas LLP,Philip Marshall,"The property comprises a number of interconnecting offices all at second floor level. The office space benefits from shared WCs, showers and kitchen facilities.The property is situated on the western side of Queen Square in a prominent position on the corner within Bath city centre., next to Chapel Row. The offices are within a 15 minute walk of Bath Spa railway station, the Southgate Shopping Centre and a variety of restaurants, bars and amenities within the city centre.Bath is a UNESCO World Heritage City of international repute with an approximate population of 99,277 (ONS mid-year population estimates 2018). The city is a regional hub for retail and leisure and is one of the United Kingdom's most visited cities in terms of tourist numbers; with two universities and an established business community. Bath Spa train station has direct trains to both Bristol (circa 12 minutes) and London Paddington (circa 1 hour 30 minutes). Bath enjoys good road links to Bristol via the A4, the south coast via the A36 and the M4 Motorway (Junction 18).Prime city centreGrade I Listed Building( Agency Pilot Software ref: 20016161 )",https://propertylink.estatesgazette.com/property-details/6975849-second-floor-14-queen-square-bath-bath-and-north-east-somerset,19th August 2024,51.3830661,-2.3643166
6970383,"7 Kingsmead Square, Bath, Bath and North East Somerset","£52,000.00  Per  Annum","1,900 Sq Ft","Office, Offices",Carter Jonas LLP,Philip Marshall,"7 Kingsmead Square offers a rare chance to grow a business in a historic and revitalised top-to-bottom workspace located in an exciting part of Bath's city centre.The property has just been refurbished to a high specification and features new carpets and decoration, full data cabling, high performance window film, electric panel heating with optimised controller, LED lighting throughout, sound reducing floor system and new WC's and kitchen.Kingsmead Square is in the historic centre of Bath. The offices are within an impressive Georgian terrace that fills the south side of the Square, a beautiful amenity for you and your team, clients and visitors.With iconic sites, green spaces and the introduction of Bath's Clean Air Zone, there are many benefits to working and living in such a vibrant city.The current EPC is band C (52). ( Agency Pilot Software ref: 20016100 )",https://propertylink.estatesgazette.com/property-details/6970383-7-kingsmead-square-bath-bath-and-north-east-somerset,12th July 2024,51.3810553,-2.3632374
6984865,"Second Floor Front Suite, Redbridge House, Lower Bristol Road, Bath, Somerset","£29,500.00  Per  Annum","2,052 Sq Ft","Office, Offices",Carter Jonas LLP,Philip Marshall,"Part Open-Plan + Private OfficesThe building benefits from the following:- Passenger lift- New LED lighting- Suspended ceilings, gas central-heating, redecorated- Meeting/training room, fitted kitchen, new carpetsRedbridge House is approximately 2/3 of a mile west along the A36 Lower Bristol Road from Bath city centre.  It is on the corner with Midland Road; at the north end of which is the bridge, providing a link with the A4 Upper Bristol Road.The offices to let are in the front wing of the building, over the Kia-Ford garage's admin and showroom. Entrance is from the west side of the building to an inner hallway with staircase and lift to the upper floors.The offices have suspended ceilings with integral LED lighting, gas central-heating, and perimeter trunking. Men's, Ladies' and disabled WCs are off the 2nd floor landing area. There are plenty of windows to west and east.Part Open-Plan + Private Offices5 Car SpacesApprox 2/3rd mile west of city centre7 min. walk from Oldfield Park StationEnergy performance rated 85 in Band D.( Agency Pilot Software ref: 20016230 )",https://propertylink.estatesgazette.com/property-details/6984865-second-floor-front-suite-redbridge-house-lower-bristol-road-bath-somerset,15th October 2024,51.381776,-2.377124
6906299,"7 The Corridor, Bath, BA1 5AP",ROA,"1,763 Sq Ft","General Retail, Retail",Hartnell Taylor Cook LLP,Rebecca Harries,"Key PointsSituated within the Grade II listed CorridorNearby occupiers include Route One, Sofa.com, Society Cafe and Running Bath SportsClass E useSummaryArcade style shop to letDescriptionThe Corridor is a Grade II Listed building and the subject property offers significant retail facilities at ground floor level.LocationThe property is located in Bath's historic covered shopping arcade The Corridor which connects prime Union Street with High Street in the heart of the city centre. Tourist attractions in close proximity include Bath Abbey, Bath Spa and The Guildhall.Occupiers in the vicinity include Flock Clothing, Running Bath Sports, Society Cafe, Sofa.com and Route One.TermsThe property is available on a new effective full repairing and insuring lease for a terms of years to be agreed.Legal CostsEach party to be responsible for their own legal costs incurred in the transaction.RentOffers invited.",https://propertylink.estatesgazette.com/property-details/6906299-7-the-corridor-ba1,13th November 2024,51.382109,-2.3597827
6984798,"First Floor, 27A Westgate Street, Bath, BA1 1EP","£8,000.00   Per Annum",529 Sq Ft,"Office, Offices, Land, Commercial Land",James Armitage,James Armitage,"Grade II Listed Georgian buildingCity centre location529ft2 / 49.1m2FEATURES:South‐facing front officeRear office with kitchenetteExclusive WC on ground floorLOCATIONWestgate Street is located in the heart of Bath’s historic city centre. Originally forming the route to the west gate of the fourth century Roman settlement, it is now a vibrant shopping street which connects the Abbey and Roman Baths with Kingsmead Square. The train station is only a ten minute walk, with trains to London Paddington in under an hour and a half, and to Bristol in twenty minutes.DESCRIPTIONThe offices are located on the first floor of a grade II listed Georgian building and consist of two interconnected rooms totalling 529ft2 (49.1m2). A large front room features south‐facing sash windows above the street. A generous rear room faces into a courtyard and incorporates a kitchenette. The accommodation also includes an exclusive WC on the ground floor. Heating is by way of electric storage heaters.TENUREThe existing lease runs to April 2027 and would be assigned by the current tenant. Alternatively, a new lease may be negotiated with the landlord, Bath and North East Somerset Council.RENTThe current rent is £8,000 per annum.TERMSTenant internal repairing terms. The tenure is by way of service charge to proportionately contribute the landlord’s costs in maintaining and redecorating the common lobby, staircase and service facilities and insuring the building.RATESThe current rateable value is £9,100. Current Government policy is that you will not pay business rates on a property with a rateable value of £12,000 or less, if it is the only property your business uses. Interested parties are advised to make their own enquiries in this regard.LEGAL COSTSEach party to be responsible for the payment of their own legal fees incurred in the transaction.EPCThe office has an energy rating of C (67).Subject to Contract",https://propertylink.estatesgazette.com/property-details/6984798-first-floor-27a-westgate-street-bath-ba1-1ep,15th October 2024,51.3814822,-2.3617323
6680993,"No. 1 Bath Quays, Lower Bristol Road, Bath, BA2",ROA,"1,052 - 10,993 Sq Ft","Office, Offices",Knight Frank LLP,Andy Smith,"Outstanding  new Grade A office development in Bath. - No.1 Bath Quays is the first new office building in Bath for a generation and provides flexible configuration over five floors.The building provides a feature double height reception and the office accommodation is finished to a high specification including VRF air conditioning, suspended ceilings, LED lighting and raised access flooring.The building provides secure car parking spaces, including 2 electric car charging spaces, as well as secure cycle racks and dedicated male and female changing / shower facilities with secure lockers and a drying room.",https://propertylink.estatesgazette.com/property-details/6680993-no-1-bath-quays-lower-bristol-road-bath-ba2,29th April 2024,51.3781761,-2.363818
6990240,"2nd & 3rd Floors, Northgate House, Upper Borough Walls, Bath, United Kingdom BA1 1RG",ROA,"1 - 10,800 Sq Ft","Office, Serviced Office, Offices, Business park, Land, Retail, Commercial Land",IWG Plc,IWG PLC,"Being based in Bath gives your business the kudos of an historic, upmarket location among a range of very modern companies from engineering to IT. Indeed, Bath is home to five of the biggest 150 companies in the west of England, as well as small to medium sized businesses in IT, software, publishing and retail. It’s a great place to be if your company needs strong rail connections to London (about 1hr 30mins) or Bristol (just 20 minutes away) and by car Bath is 20 minutes from the M4.This makes a location in the heart of a designated UNESCO World Heritage site much sought-after, so this contemporary business centre in the conservation area is a real find. Northgate House is walking distance from the station and includes attractive offices, meeting rooms and co-working space (with business Wi-Fi), all newly refurbished. They offer attractive views of the historic city. Plus, talent graduating from the University of Bath and City of Bath College will give you a competitive advantage.At Spaces Northgate House, we can support with:• Office Space: Your own private and fully serviced office space with a flexible contract that adapts to your business and is accessible 24/7.• Coworking Membership: Work from thousands of coworking spaces worldwide, all with a flexible contract and unlimited access during business hours.• Dedicated Desk: Your own private desk in a shared office or open plan space that can be accessed 24/7, locker included, all with a flexible contract.• Meeting Rooms: Choose from thousands of on-demand meeting rooms and event spaces with all the services you need, fully customisable to any event or duration.• Virtual Office: Leave the best impression with a professional business address at one of our locations and have us handle your calls and mail.Just so you know; all images shown in this listing are from Spaces locations, but they may not correspond to this specific one.Get in touch",https://propertylink.estatesgazette.com/property-details/6990240-we-offer-workspace-options-fully-tailored-to-your-needs-in-spaces-northgate-house,13th November 2024,51.3826169,-2.3595445
6761741,"Royal Mead , 4-5 Railway Place, City Centre, Bath, South West, BA1",£36.00 - £40.00   Per Sq Ft,"4,092 - 25,451 Sq Ft","Office, Offices",Lambert Smith Hampton - Bristol ,Roxine Foster,"Royal Mead is being comprehensively remodeled to provide exceptional accommodation with a contemporary feel. Royal Mead will benefit from a new glazed reception, new lifts, new toilet accommodation and new showers together with lockers, drying room and extensive cycle storage. The office floors will be comprehensively refurbished with new air conditioning throughout, new suspended ceilings and new LED lighting together with full access raised floors.( Agency Pilot Software ref: 2018995 )",https://propertylink.estatesgazette.com/property-details/6761741-royal-mead-4-5-railway-place-city-centre-bath-south-west-ba1,27th August 2024,51.3778,-2.355498
