Id,Offer Status,Address,Price,Size,Property Type,Agency Name,Agent Name,Description,Property Link,Date Posted,Latitude,Longitude
6960247,,"25 Queen Square, Bath, Bath And North East Somerset, BA1 2HX",ROA,"627 - 4,150 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Emily Dagg,"DescriptionThe property comprises office suites spread over five floors of a Palladian Neo Classical, Grade I Listed Building. Internally, the offices are well proportioned and in good condition, benefitting from original period features and large sash windows overlooking Queens Square. Access to the property is through a secure, communal lobby and stairwell. There are shared kitchen and WC facilities.Parking is available by way of separate negotiation.LocationBath is a city renowned for its attractive architecture, unique retail offering  and  world heritage status. Bath and North-East Somerset has a residential population of 193,400 and annual visitor numbers exceeding 6 million, according to the last Visitor Impact Report 2018. Bath is served by excellent transport infrastructure, junction 18 of the M4 being just 10 miles to the north via the A46. Train journeys to Bristol are just 12 minutes, with travel to London Paddington approximately 1 hour 20 minutes.SituationThe property is located on the Northern side of Queen Square, which is generally regarded as Bath's premier professional office location and is home to many of the City's accountancy, financial, legal and property firms. Charlotte Street car park with approximately 1200 spaces is only a few minutes' walk.Accommodation TextThe property benefits from the following Net Internal Floor Areas:-Lower Ground Floor - 73.46Sq M (791Sq Ft)Ground Floor - 88.35Sq M (951Sq Ft)First Floor - 98.30Sq M (1,058Sq Ft)Second Floor - 58.21Sq M (627Sq Ft)Third Floor - 67.20Sq M (723Sq Ft)Total - 385.52Sq M (4,150Sq Ft)Business RatesRates payable subject to small business rate relief eligibility.Lower Ground Floor OfficeRateable Value (April 2023) £8,700UBR(23/24) 0.499Rates Payable (April 2023) £4,341Ground Floor OfficeRateable Value (April 2023) £21,250UBR(23/24) 0.499Rates Payable (April 2023) £10,604First Floor OfficeRateable Value (April 2023) £24,500UBR(23/24) 0.499Rates Payable (April 2023) £12,226Second Floor OfficeRateable Value (April 2023) £10,500UBR(23/24) 0.499Rates Payable (April 2023) £5,240Third Floor OfficeRateable Value (April 2023) £9,900UBR(23/24) 0.499Rates Payable (April 2023) £4,940We recommend any interested parties make their own enquiries to Bath  and  North East Somerset Council (01225 477000) to verify these figures.Legal CostsEach party is to be responsible for their own legal and professional fees incurred in any transaction.Further InformationFor further information or to arrange a viewing please contact the sole agents at CSquared,Allan LloydM 07527 388036E allan.lloyd@cs-re.co.ukEmily DaggM 07398 637345E emily.dagg@cs-re.co.ukMaddie PylesM 07950 765672E maddie.pyles@cs-re.co.ukAmeneties 1Palladian Neo-Classical Grade I Listed propertyAmeneties 2Period Features and Excellent Outlook onto Queens Square  ( Agency Pilot Software ref: 709 )",https://propertylink.estatesgazette.com/property-details/6960247-25-queen-square-bath-bath-and-north-east-somerset-ba1-2hx,8th August 2024,51.3839494,-2.3636339
6980582,Under Offer,"Lower Ground Floor , 8 Belmont, Bath, Bath and North East Somerset, BA1 5DZ","£8,000.00  Per  Annum",587 Sq Ft,"Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"The lower ground floor comprises two office rooms, at the rear and front. The premises benefit from having a private entrance at the front of the property and use of a paved garden at the rear which is shared with all tenants. Each floor has its own WC.( Agency Pilot Software ref: 862 )",https://propertylink.estatesgazette.com/property-details/6980582-lower-ground-floor-8-belmont-bath-bath-and-north-east-somerset-ba1-5dz,17th January 2025,51.3865468,-2.3610965
7001217,Under Offer,"11and11A Queen Street, Bath, Bath and North East Somerset","£22,500.00  Per  Annum",0 - 980 Sq Ft,"General Retail, Retail",Carter Jonas LLP,Tim Brooksbank,"Grade II Listed, mid terrace property comprises basement, ground, first, second and third floors. Basement, ground and first floors can be used as sales space and have been done so by the previous tenant. Toilet and kitchen facilities are located on the second floor.Queen Street runs parallel with the main Milsom Street shopping area which connects with Quiet Street and Wood Street. Queen Square is within very close walking distance to the street and is a main bus drop off area along with Charlotte Street car park located just off it.The Street has a variety of specialist retailers nearby including Milk Bun, The Gin Bar, The Raven, The Kitchen Shop and Wild Cafe. Waitrose/John Lewis Home is also close by, with a 550 space multi-storey car park below.The EPC will be made available to interested parties on application.( Agency Pilot Software ref: 20018294 )",https://propertylink.estatesgazette.com/property-details/7001217-11and11a-queen-street-bath-bath-and-north-east-somerset,4th February 2025,51.382705,-2.361986
6985747,Under Offer,"3 Northumberland Buildings, Bath, Bath and North East Somerset, BA1 2JB","£20,000.00  Per  Annum","1,161 Sq Ft","Office, Retail - High Street, Offices, Retail",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"3 Northumberland Buildings comprises the ground and lower ground floors of a mid-terraced Grade II* listed Georgian building. Currently used as a gallery, within Use Class E, the property comprises an open plan ground floor, half landing wc and kitchen facilities and additional ancillary storage to lower ground floor level.The main entrance off Wood Street is shared as an emergency exit only with the upper floor office occupiers.( Agency Pilot Software ref: 901 )",https://propertylink.estatesgazette.com/property-details/6985747-3-northumberland-buildings-bath-bath-and-north-east-somerset-ba1-2jb,28th November 2024,51.383127,-2.36232
6923560,,"Upper Floors , 39 Gay Street, Bath, Bath And North East Somerset, BA1 2NT","£10,000.00 - £23,500.00  Per  Annum",436 Sq Ft,"Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Maddie Pyles,"Gay Street is part of Bath's long standing economic centre and runs parallel to Milsom Street. Surrounding occupiers include construction consultants, financial institutions, law firms, cafes, restaurants and bars. Nearby car parking can be found at Charlotte Street Car Park, less than 350 metres west. Bath Spa train station and Bath bus station are a 15-minute walk to the south.The Grade II Listed building forms part of a mid-terraced Georgian townhouse constructed of Bath ashlar stone. Each floor provides interlinked offices providing the flexibility for an occupier to have private meeting rooms / offices. Sash windows placed to the front of the property and to the rear provide excellent levels of natural light to all floors. A single W/C is provided off the landing for the benefit of the suites.First, second and third floor office available together or separately. Attractive Rent-Free Period Available, Subject to Terms.The property benefits from the following Net Internal Floor Areas:- 1,225 sqftRates payable subject to small business rate relief eligibility.We recommend any interested parties make their own enquiries to Bath  and  North East Somerset Council (01225 477000) to verify these figures.Viewings can be arranged through the sole agents at CSquared. ( Agency Pilot Software ref: 339 )",https://propertylink.estatesgazette.com/property-details/6923560-upper-floors-39-gay-street-bath-bath-and-north-east-somerset-ba1-2nt,12th August 2024,51.3841127,-2.3631466
7004640,,"20 , Milsom Street , Bath , BA1 1DE","£70,000.00  Per  Annum","4,983 Sq Ft","Retail - High Street, Restaurants/Cafes, Retail, Licensed & Leisure",CSquared (Previously Colston & Colston Chartered Surveyors),Nathan Clark,"DescriptionNow Available Due to Abortive NegotiationsDescription20 Milsom Street comprises a mid-terraced retail unit arranged over basement, ground and rear first floor. Towards the rear of the unit is a staircase leading to the first floor, off which there is a kitchen and male / female WCs. A basement provides several cellular rooms with access to a small rear courtyard, also accessible form the ground floor.The shop specification includes timber flooring on suspended joists, painted plaster and lined walls, suspended ceiling incorporating air conditioning (4-way ceiling cassettes) and spotlight display lighting.LocationBath is a city renowned for its attractive architecture, unique retail offering  and  world heritage status. Bath and North-East Somerset has a residential population of 193,400 and annual visitor numbers exceeding 6.25 million, according to the last Visitor Impact Report 2018. Bath is served by excellent transport infrastructure, junction 18 of the M4 being just 10 miles to the north via the A46. Train journeys to Bristol are just 12 minutes, with travel to London Paddington approximately 1 hour 20 minutes.SituationThe Property is situated on Milsom Street in central Bath and occupies a prominent terraced position with recessed return display frontage to Milsom Street. The property is located towards the northern end of the street, close to an array of retailers and eateries. Nearby significant occupiers include the Ivy Brasserie, Jollys (House of Fraser), Savills  and  Moss Bros.Milsom Street benefits from good levels of daytime footfall, attracting locals and tourists alike. The street connects to George Street, where a variety of bars, restaurants etc, provide more consistent evening trade. Broad Street Car Park is also easily accessible.Accommodation TextThe property benefits from the following Net Internal Floor Areas:-Ground Floor             184.46 Sq M 1,985 Sq FtFirst Floor                  100.42 Sq M 1,081 Sq FtBasement Ancillary  178.07 Sq M 1,916 Sq FtTotal                            462.95 Sq M 4,983 Sq FtBusiness RatesRates payable subject to small business rate relief eligibility.We recommend any interested parties make their own enquiries to Bath  and  North East Somerset Council (01225 477000) to verify these figures.Legal CostsEach party is to be responsible for their own legal and professional fees incurred in any transaction.Service Charge DetailsThe tenant will be expected to contribute to a fair and reasonable proportion of the landlord's costs in the upkeep, repair and maintenance of the building. Further details provided upon request.EPC Text51 CFurther InformationFor further information or to arrange a viewing please contact the sole agents at CSquared,Nathan ClarkEmily Dagg( Agency Pilot Software ref: 681 )",https://propertylink.estatesgazette.com/property-details/7004640-20-milsom-street-bath-ba1-1de,10th February 2025,51.384403,-2.362172
6979304,,"Ground Floor Of 6 Westgate Buildings, Bath, Bath, Somerset","£50,000.00  Per  Annum","1,012 Sq Ft","General Retail, Retail",Carter Jonas LLP,Tim Brooksbank,"The property is arranged over ground floor only and consists of open plan sales space fronting onto Westgate Buildings. There is additional ancillary space to the side of the sales area at a slightly raised level. The premises are currently in a stripped back condition and will require the installation of a W/C and kitchen. There is scope to install a small extractor fan at ground floor level, subject to the right statutory consents being granted.Westgate Buildings is situated just off the popular Kingsmead Square, which is an attractive location within the heart of Bath providing good access to the Theatre Royal and the City's core retail zone. The surrounding area has a mixture of retailers, restaurateurs and cafe operators including Tesco Express and Sports Direct.The Kingsmead Leisure Centre is also within close proximity and holds the Odeon cinema, Premier Inn and JD Weatherspoon's. Kingsmead Square located nearby is a popular destination with a mixture of uses including offices and local independent retailers. 6 Westgate Buildings also benefits from a bus stop outside.The EPC will be made available to interested parties on application.( Agency Pilot Software ref: 20016188 )",https://propertylink.estatesgazette.com/property-details/6979304-ground-floor-of-6-westgate-buildings-bath-bath-somerset,5th February 2025,51.382513,-2.381934
6899709,,"22 St. Lawrence Street, Bath, Bath And North East Somerset, BA1 1AN",£30.00   Per Sq Ft,"4,154 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Seonaid Butler,"4,154 sq ft of high quality, part fitted second floor offices in central Bath. The offices are undergoing refurbishement to include new meeting rooms and kitchen / break out area, LED lighting, new AC, full access raised floor and new entrance / reception area.( Agency Pilot Software ref: 627 )",https://propertylink.estatesgazette.com/property-details/6899709-22-st-lawrence-street-bath-bath-and-north-east-somerset-ba1-1an,27th January 2025,51.37817,-2.358132
6881244,,"27 Upper Borough Walls, Bath, Bath And North East Somerset","£12,500.00 - £18,000.00  Per  Annum","729 - 1,566 Sq Ft","General Retail, Restaurants/Cafes, Retail, Licensed & Leisure",Carter Jonas LLP,Stuart Williams,"First  and  Basement Floors - Available to Let* Incentives Available *The premises front Upper Borough Walls with a return frontage to pedestrianised Union Passage which is where the self-contained entrance to the basement and first floor is located.The premises immediately adjoin Soho Coffee which fronts prime Union Street where multiples include Caffe Nero, Skechers and H Samuel Trade.Licenced Betting Office or uses within what was A1 (Retail), A2 (Financial Services) of the Town and Country Planning (Use Classes Order) 1987. The upper floors are permitted for uses within what was A1, A2, A3 and A5 or other uses subject to landlord's consent.The entire premises are assessed as C (58). ( Agency Pilot Software ref: 20012948 )",https://propertylink.estatesgazette.com/property-details/6881244-27-upper-borough-walls-bath-bath-and-north-east-somerset,1st October 2024,51.3825028,-2.360375
7010584,,"Unit 3, Brassmill Lane Trading Estate, Bath, Bath And North East Somerset","£72,000.00  Per  Annum","7,218 Sq Ft","General Industrial, Industrial",Carter Jonas LLP,Ed Cawse,"Industrial/Warehouse UnitsThe units are mid-terrace and of portal frame construction. The roof has recently been reclad with profile steel cladding incorporating roof lights. The elevations are of concrete block construction. The warehouse is serviced with a new full height roller shutter door as well as independent pedestrian door / fire exit. Other benefits include LED motion censored lighting and brand new Epoxy floor coating. The unit will have the benefit of fully refurbished offices with bathroom and kitchen facilities. Car parking is available to the front of the unit.The property is located on the Brassmill Trading Estate which is one of the primary Bath employment locations positioned on the western periphery of the city. Access to the estate is via the A4 (Newbridge Road). Nearby occupiers include a number of trade counter businesses and larger occupiers such as Rotork Plc and Horstman Defence Systems Ltd.Located in one of Bath's Primary Employment Areas.Recently refurbishedEpoxy floor coatingFull height roller shutter doorThe most recent use of the accommodation as for that of warehouse with offices however, prospective occupiers are advised to make their own enquiries with Bath and North East Somerset concerning their proposed use.Tel: 01225 477 000Email: enquiries@bathnes.gov.ukThe Building has an EPC rating of: 61 : C( Agency Pilot Software ref: 20012525 )",https://propertylink.estatesgazette.com/property-details/7010584-unit-3-brassmill-lane-trading-estate-bath-bath-and-north-east-somerset,7th February 2025,51.386022,-2.402586
