Id,Offer Status,Address,Price,Size,Property Type,Agency Name,Agent Name,Description,Property Link,Date Posted,Latitude,Longitude
7006834,,"HERE , Bath Road, Arnos Vale, Bristol, City of Bristol, BS4 3AP",ROA,"1,292 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Seonaid Butler,"2.01 measures 1,2692 sq ft and provides a fantastic open plan suite with an abundance of natural light. The space has been fitted by the Landlord and is ready for immediate occupation.A central city office space less than 1.5 miles from Temple Meads Station with over 220 parking spaces - a rare commodity in Bristol!HERE has an abundance of secure and sheltered bike storage, as well as on site fitted gym facilities as well as a games room, adjoining park for wellbeing, outdoor seating, generous parking/cycle storage, newly installed shower facilities, communal meeting rooms available for hire.Everything you need is HERE, meeting rooms and break-out zones, super fast broadband and healthy on site fast-food and coffee with on site cafe. There's always something going on HERE, our social diary is packed with exclusive events for tenants.Within the clean lines of the exterior you'll find light and functional but stylish, upcycled and repurposed workspaces of all shapes and sizes. Offering traditional leases to flexible and fully inclusive serviced offices. Every business at HERE enjoys an inspiring blank canvas they can make their own. Whatever your requirements, give us a call.( Agency Pilot Software ref: 1999 )",https://propertylink.estatesgazette.com/property-details/7006834-here-bath-road-arnos-vale-bristol-city-of-bristol-bs4-3ap,3rd February 2025,51.441487,-2.561809
6972231,,"Unit 20 Brookgate Trading Estate, Unit, Brookgate, Bristol, BS3 2UN","£80,537.50","6,443 Sq Ft","General Industrial, Distribution Warehouse, Warehouse, Trade Counter, Industrial, Retail",Russell Property Consultants Ltd,Chris Miles,"South Liberty Lane is the main industrial suburb within South Bristol, providing a range of warehouse, trade counter andindustrial units for various businesses. Access can be provided directly from South Bristol Link Road, which now provides the estate with unrivalled access to the Bristol and North Somerset market and also provides direct access to Junction 18 of the M5 Motorway via The Portway.",https://propertylink.estatesgazette.com/property-details/6972231-unit-20-brookgate-trading-estate-unit-brookgate-bristol-bs3-2un,24th July 2024,51.430521,-2.633266
6931459,,"25 Ashton Road, Ashton Gate, Bristol, City Of Bristol, BS3","£15,000.00  Per  Annum",499 Sq Ft,"Office, Offices",Burston Cook,Vicki Grimshaw,"An attractive, self-contained office studio located just off the popular North Street and opposite Greville Smyth Park.( Agency Pilot Software ref: 1455 )",https://propertylink.estatesgazette.com/property-details/6931459-25-ashton-road-ashton-gate-bristol-city-of-bristol-bs3,15th November 2023,51.4419748,-2.618403
6884956,,One Portwall Square,ROA,"3,000 - 12,608 Sq Ft","Office, Offices",CSquared (Previously Colston & Colston Chartered Surveyors),Seonaid Butler,"One Portwall Square is a vibrant new office development offering flexible floorplates for a modern generation of tenants. Designed by AHMM, the scheme combines contemporary architecture with a focus on post-Covid occupant wellbeing and sustainability to deliver a new office for Bristol.In May 2023, One Portwall Square was awarded Best Commercial Workplace at the South West Regional BCO Awards, and also triumphantly won first place at the National Awards held in October. This is the first time the award has been won in Bristol and the Region.New landscaped pocket squareTerrace on every upper floorSmart mixed-mode system and passive cooling with natural ventilation - the first of it's kind in BristolBREEAM Excellent3.65m floor to ceiling heightsWired Score Certification PlatinumCycling Score Certification Platinum with 62 secure cycling parking storeConnection to BCC's District Heat Network( Agency Pilot Software ref: 450 )",https://propertylink.estatesgazette.com/property-details/6884956-one-portwall-square,27th November 2024,51.449598,-2.587144
7016989,,"Great George Street, Bristol, BS1","£400.00 - £11,000.00   Per Month (Furnished and All-inclusive)","120 - 2,750 Sq Ft","Serviced Office, Offices",Free Office Finder,Spencer Miller,"Ref: EG91288• Private Offices (Serviced) - Furnished or Unfurnished• Flexible terms: 3 months to 5 years (rolling or fixed)• Flexible start dates available• Our agency service is 100% free (paid for by landlords)Sizes & Prices:• 55 to 60 people (2,750 to 3,000 sq ft) = From £11,000 per month + VAT",https://propertylink.estatesgazette.com/property-details/7016989-range-of-private-serviced-offices-to-rent-in-great-george-street-bristol,20th February 2025,51.453615,-2.603722
6932078,,"25 Ashton Road, Ashton Gate, Bristol, City Of Bristol, BS3","£15,000.00  Per  Annum",499 Sq Ft,"Office, Offices",Burston Cook,Vicki Grimshaw,"An attractive, self-contained office studio located just off the popular North Street and opposite Greville Smyth Park.( Agency Pilot Software ref: 1455 )",https://propertylink.estatesgazette.com/property-details/6932078-25-ashton-road-ashton-gate-bristol-city-of-bristol-bs3,16th November 2023,51.4419748,-2.618403
6902578,,"77-79 Stokes Croft, Bristol, BS1",£16.50   Per Sq Ft,"797 - 3,636 Sq Ft","Office, Healthcare, Offices, Other Property Types & Opportunities",Burston Cook,Luke Dodge,"A range of attractive, studio style offices located in the heart of the vibrant Stokes Croft within a stone's throw of a wide range of local amenities.( Agency Pilot Software ref: 1361 )",https://propertylink.estatesgazette.com/property-details/6902578-77-79-stokes-croft-bristol-bs1,27th November 2024,51.463296,-2.59006
7007447,,"Upper Floor Offices, 20 - 22 The Mall, Clifton , Bristol, BS8","£12,000.00  Per  Annum",330 Sq Ft,"Office, Healthcare, Offices, Other Property Types & Opportunities",Burston Cook,Finola Ingham,A most attractive and contemporary office providing approximately 330 sq ft with shared kitchen and WC's.  Inclusive rent available.( Agency Pilot Software ref: 3692 ),https://propertylink.estatesgazette.com/property-details/7007447-upper-floor-offices-20-22-the-mall-clifton-bristol-bs8,5th February 2025,51.455109,-2.62061
6969664,,"15 Colston Street, Bristol, City of Bristol, BS1",£7.50   Per Sq Ft,"2,693 Sq Ft","Office, General Industrial, Offices, Industrial",Burston Cook,Finola Ingham,"Basement storage providing open plan space which is dry, secure storage space with power. Prime city centre location, useful for  be office storage, photography, ebay storage and logistics, document storage, and the like.Available to rent / consideration would be also be given to a sale.( Agency Pilot Software ref: 1568 )",https://propertylink.estatesgazette.com/property-details/6969664-15-colston-street-bristol-city-of-bristol-bs1,19th February 2025,51.455038,-2.597869
6930506,,"Unit H, Eastgate Retail Park, Unit H, Eastgate Road, Bristol, BS5 6XX","£290,000.00","19,253 Sq Ft","Distribution Warehouse, Leisure Property, Research & Development, Storage, Retail Park, Industrial, Licensed & Leisure, Other Property Types & Opportunities, Retail",Russell Property Consultants Ltd,Rob Russell,"Eastgate Retail Park is one of Bristol's largest retail destinations. It is strategically located adjacent Junction 2 of the M32,which links Bristol City Centre (1.5miles) with the M4 motorway, which is only 2 miles to the north. The Park is prominentlypositioned alongside the M32, and is adjacent to IKEA and Tesco Extra.",https://propertylink.estatesgazette.com/property-details/6930506-unit-h-eastgate-retail-park-unit-h-eastgate-road-bristol-bs5-6xx,6th February 2025,51.472493,-2.5667249
